Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Cannabis,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,VSA,y
2,0,4,5,6,0.04257,0.00332,-1.68062,-0.01729,0.25953,-1.37983,-1.54858,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,8,5,0,0.04257,0.63779,0.14143,0.13136,0.25953,-0.21712,-1.18084,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,6,5,6,-1.1943,1.58487,0.29338,0.76096,0.41594,-2.55524,-1.18084,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,7,5,1,-0.58016,0.47617,-0.71727,0.13136,0.93949,-0.21712,-0.52593,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,5,6,-0.67825,0.96248,-1.68062,0.76096,0.7583,-0.21712,-0.52593,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,6,5,6,-0.05188,1.2861,0.58331,0.13136,0.41594,0.88113,0.07987,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,5,0,-1.43907,0.47617,1.06238,-0.45321,1.13407,-1.37983,-0.84637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,5,4,6,0.52135,-0.15487,-1.27553,0.94156,0.12331,-1.37983,-1.54858,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6,5,6,-0.14882,0.47617,-0.45174,-0.76096,0.93949,0.52975,-0.52593,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,7,5,6,-0.34799,0.00332,-0.45174,0.28783,0.12331,-1.37983,-0.52593,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,5,5,6,-0.79151,1.2861,-0.17779,0.94156,2.33337,0.19268,-0.52593,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
